,id,title,caption,created,filesize,duration,clip_id,total_comments,total_plays,total_likes,thumbnail
0,214566929,"America, I Think?","Experimental animation constructed from memories of a 2 week holiday in Orlando, FL.",2017-04-24T16:22:27-04:00,78431128,61,214566929,44,10199,553,https://i.vimeocdn.com/video/677861199_780x439.webp
1,191356910,Ants songs / Муравьиные песни,"drama, 2014
Director, artist, animation - Sasha Svirsky.
Composer, music, sound - Grigory Shmidko
Music - Grigory Mumrikov

Synopsis:
Dramatic story of a man and a woman who had a short but torrid love affair.  The affair had high consequences - the young woman was pregnant and dreamt to get married with the father of a future baby, but the man chose a not young but rich bride instead of her. To hide his relationship with the young woman he went in for a terrible act. Some ants became witnesses of that act. As time passes the ants stop being just witnesses and following their instincts and laws known only to them they rule the destinies of the characters and redress an injustice.

Festival list:
Vkratze Short Film Festival, Volgograd, Russia, March 2014 - The second prize
Future Film Festival, Bologna, Italy, April 2014 - competition program
Kinolikbez Short Film Festival, Barnaul, Russia, May 2014 – The best animation film
8th Tarkovsky Film Festival THE MIRROR, Ples-Ivanovo, Russia, June 2014 – special program
Insomnia Animation Film Festival, Moscow, Russia, July 2014 – The third prize
12th Fantoche Animation Film Festival, Baden, Switzerland, September 2014 – competition program
FestAnca, Animation Film Festival, Bratislava, Slovakia, June 2014 – special program
FIA Animation Film Festival, Montevideo, Uruguay, September 2014 – competition program
7th Banja Luka, Animation Film Festival, Bosnia and Herzegovina, October 2014 – competition program
Big Cartoon Festival, Moscow, Russia, October 2014
Anilogue International Animation Festival, Budapest, Hungary, November 2014 – competition program
18th Holland Animation Film Festival, Utrecht, Netherland, March 2015 – competition program
19th Open Russian Festival of Animated Film, Suzdal, Russia, March 2015 – competition program
17th Mecal, International short film festival Barcelona, Spain, May 2015 – competition program
18th edition of the International Short Film Festival Barcelona Mecal Pro, Santiago de Chile, 2015
World Festival of Animated Film Varna, Bulgaria, September 2015 – competition program
International Animated Film Festival KROK, Moscow-S.Petersburg, Russia, September 2015
LIAF, London, UK, December 2015 – competition program",2016-11-13T10:39:07-05:00,1724998360,739,191356910,13,15197,340,https://i.vimeocdn.com/video/602340328_780x439.webp
2,250383662,Gigi Rüf: As the Crow Flies,"There isn't a whole lot to say about Gigi Rüf that hasn't been said. But let's just let his riding do the talking instead. Watch his full part, As The Crow Flies, and be in awe.

Video from Pirate Crew.",2018-01-09T21:58:48-05:00,505058106,305,250383662,19,25461,425,https://i.vimeocdn.com/video/676463879_780x439.webp
3,250482473,Richard Williams- Animating Movement,"You can get three months of Skillshare for only $0.99. Go to skl.sh/RoyalOcean to sign up today.

In a world where live-action and animation are growing closer and closer to one another, Richard Williams was and still is one of the last remaining members of the old guard who wanted to push animation in the exact opposite direction, to do what no other medium can, and that's perhaps most evident in the masterful way in which his films move. Let's dive in and see what we can learn.

You can support this channel at Patreon- bit.ly/2v27J8x

Sources/Further Reading-
The Creative Person: Richard Williams (1967) - bit.ly/2Euck46
I Drew Roger Rabbit (1988) - bit.ly/2meemOs
The Animator's Survival Kit by Richard Williams - http://amzn.to/2CYkNAr

Special thanks to Garrett Gilchrist for TheThiefArchive, his massive collection of Williams-related films and interviews found on YouTube, and his ReCobbled cut of Williams' stolen masterpiece The Thief and the Cobbler. This video simply wouldn't have been possible without either resource.

You can follow me through:
Twitter- twitter.com/andymsaladino
YouTube- youtube.com/c/theroyaloceanfilmsociety

Music by:
Bonus Points - soundcloud.com/bonuspoints
Dyalla- soundcloud.com/dyallas",2018-01-10T12:33:36-05:00,939987336,506,250482473,15,26448,1150,https://i.vimeocdn.com/video/676587855_780x439.webp
4,249968820,The Pale Blue Dot,"The Pale Blue Dot was made as a tribute to Carl Sagan as the final project for the Animation 01 course at Ringling College of Art and Design.

Created during the Fall 2017, this film was a collaborative effort by the entire Motion Design class of 2020.

Created by (in order of appearance): 
Kyle Snider
Brianna D'Amico
Kim Nguyen
Doug Alberts
Ian Grier
Tamara Marshall
Alex Miller
Jingyun Zhou
Evan Wyatt
Angelica Fernandez
Elliot Stein
Noah Selbitschka
Daniel Salaverri
Anissa Rodriguez
Zac Miller
Mitchy Morita
John Gnieski
Dan Cantelm
Kenyon Bertelsen
Emoni Poole
Lauren Cash
Samuel Kim
Stephen Moore
Ioana Oprescu
Tyler Abrams
Morgan Allison 
Gizem Atalay
Sophia Holland
Skylar Martinez
Jerry Jaimes
Beatriz Lima
Keegan Strype
Jackson Dunson
Selena Joe
Hae Ri Cho
Lauren Antoine
Zach Hartman

Instructor: Joe Donaldson
Music and Sound Design: Kelly Warner",2018-01-06T20:37:36-05:00,312430388,240,249968820,31,28941,1136,https://i.vimeocdn.com/video/675931737_780x439.webp
5,249450406,ZIBER — Repair (09 episode),"08 episode — https://vimeo.com/248797036
07 episode — https://vimeo.com/248008986
06 episode — https://vimeo.com/246983430

Ziber is a man that has nothing and wants to succeed with minimal effort. He seeks for love and care and tries to comply with the existing system but regularly has to deal with its dense stupidity.

And of course the cartoon is based on true story.

__________________________________
DIRECTORS AND WRITERS:
Andrey Kasay
Zhdan Philippov

ORIGINAL ART:
Andrey Kasay

ANIMATORS:
Mikhail Kalinin
Andrey Kasay

MUSIC AND SOUNDS EFFECTS:
Sergey Ledovskiy

VOICES:
Ruslan Gabidullin

SPECIAL THANKS:
Denis Vsesviatskiy
Diana Novichikhina",2018-01-02T18:00:37-05:00,116918487,121,249450406,13,16729,438,https://i.vimeocdn.com/video/675270092_780x439.webp
6,247792599,~ Way of Life ~,"What defines the greatness of Men? Is it just the results you get? Or the commitment to pursuit your dreams? Why some people are afraid of the ocean while others can't live without dropping 40 feet waves?

This short documentary follows the story of João de Macedo, an underdog big wave surfer who tries to run the world tour without a major sponsor. Filmed over the last 6 months in some of the most iconic big wave surf spots around the world.",2017-12-18T07:45:18-05:00,3556499363,600,247792599,30,274087,834,https://i.vimeocdn.com/video/675315345_780x439.webp
7,249393804,Toto Bona Lokua - Ma Mama (Official Music Video),"Two lovers explore a patterned jungle world and meet some animal friends along the way.

I had so much fun creating these visuals for this lovely catchy tune by French band Toto Bona Lokua.

Directed, storyboarded, designed, animated by Katy Wang
Animation by Lois de Silva, Martha Halliday, Hannah McNally, Maria Morris
Executive produced by Duncan Gaman, Stan Bertin
Production Company : Partizan

www.instagram.com/watykang
www.twitter.com/watykang
www.katywang.co.uk

http://www.loisdesilva.com/
https://www.mariamorrisdesign.com/
https://hannahandmartha.com/",2018-01-02T09:58:35-05:00,291419054,226,249393804,24,14598,680,https://i.vimeocdn.com/video/675197274_780x439.webp
8,248899043,The Swiss Knife: A Mini-Documentary on Holden Explorer Fredi Kalbermatten,"Join Holden explorer, Fredi Kalbermatten as he he takes us on a journey through his home-town, Saas Fe, Switzerland. Directed on location by Gray Thompson during the spring of 2017, this mini-documentary dives deeper into Fredi’s seasoned mountain knowledge, his lifestyle, and into some deep powder fun along with Gray. Cinematography by Puzzle Media. Featuring music by Zac Marben.",2017-12-27T14:44:32-05:00,1108550810,614,248899043,15,22525,462,https://i.vimeocdn.com/video/676172474_780x439.webp
9,248816836,LANCE LIZARDI,"A young man takes his love for lizards to the extreme.

Official selection - AFI fest, BAMcinemafest

Commissioned by Borscht Corp, Miami FL, 2017",2017-12-26T19:57:46-05:00,640928852,497,248816836,17,46683,333,https://i.vimeocdn.com/video/674453758_780x439.webp
